address,ai_error,ai_status,allergens,confidence,cuisine,decision,dietary_certification,explanation,matches_allergy_safe,matches_budget,matches_dietary,matches_walking_time,name,price,reason,score,walking_time,walking_time_is_estimated
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,AMK 347 Foodhouse,,AI evaluation failed or was unavailable — needs manual review.,0.0,2.5,True
1382 Ang Mo Kio Avenue 1 569931,,ok,Unavailable,1.0,Unavailable,accept,Unavailable,"The user has no dietary restrictions, allergies, budget limit, or walking time constraint, so the candidate trivially satisfies all requirements.",True,True,True,True,Canopy Garden Dining,,"Meets all requirements with high confidence (1.00). The user has no dietary restrictions, allergies, budget limit, or walking time constraint, so the candidate trivially satisfies all requirements.",0.6,9.8,True
560532,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Nature Vegetarian 532 Ang Mo Kio Ave 10 #01-2495 560532 11am-9pm.,,AI evaluation failed or was unavailable — needs manual review.,0.0,11.1,True
Block 531 Ang Mo Kio Avenue 10 560531,AI did not return a valid response after retries.,failed,Unavailable,,pasta;chicken;fish_and_chips;seafood,flag,Unavailable,,,,,,Fish & Chicks,,AI evaluation failed or was unavailable — needs manual review.,0.0,9.6,True
202 Ang Mo Kio Avenue 3 560202,AI did not return a valid response after retries.,failed,Unavailable,,chinese;local,flag,Unavailable,,,,,,Kam Jia Zhuang Seafood #01-1690,,AI evaluation failed or was unavailable — needs manual review.,0.0,6.0,True
,,ok,Unavailable,1.0,Unavailable,accept,Unavailable,"The user has no dietary restrictions, no allergies, no budget limit, and no walking time limit, so the candidate trivially satisfies all requirements.",True,True,True,True,Hup Kah Noodle House,,"Meets all requirements with high confidence (1.00). The user has no dietary restrictions, no allergies, no budget limit, and no walking time limit, so the candidate trivially satisfies all requirements.",0.6,11.4,True
Ang Mo Kio Avenue 3 569933,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,The Soup Spoon,,AI evaluation failed or was unavailable — needs manual review.,0.0,0.2,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Fish & Co.,,AI evaluation failed or was unavailable — needs manual review.,0.0,0.9,True
,AI did not return a valid response after retries.,failed,Unavailable,,japanese,flag,Unavailable,,,,,,Ajisen @ AMK Hub,,AI evaluation failed or was unavailable — needs manual review.,0.0,0.6,True
,,ok,Unavailable,1.0,japanese;sushi,accept,Unavailable,"The user has no dietary restrictions, no allergies, no budget limit, and no walking time limit, so all requirements are trivially satisfied.",True,True,True,True,Ichiban Sushi,,"Meets all requirements with high confidence (1.00). The user has no dietary restrictions, no allergies, no budget limit, and no walking time limit, so all requirements are trivially satisfied.",0.6,1.1,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Swensen's,,AI evaluation failed or was unavailable — needs manual review.,0.0,0.6,True
,AI did not return a valid response after retries.,failed,Unavailable,,noodle,flag,Unavailable,,,,,,Takagi Ramen,,AI evaluation failed or was unavailable — needs manual review.,0.0,2.0,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Shuang Y Y Hot Pot Buffet,,AI evaluation failed or was unavailable — needs manual review.,0.0,2.5,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Asam Tree,,AI evaluation failed or was unavailable — needs manual review.,0.0,2.5,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,好滋味美食城,,AI evaluation failed or was unavailable — needs manual review.,0.0,3.9,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,FC,,AI evaluation failed or was unavailable — needs manual review.,0.0,2.0,True
,AI did not return a valid response after retries.,failed,Unavailable,,steak_house,flag,Unavailable,,,,,,Jack's Place,,AI evaluation failed or was unavailable — needs manual review.,0.0,9.9,True
,,ok,Unavailable,0.6,Unavailable,reject,Unavailable,"No dietary or allergy restrictions apply, and walking time is within the limit. Budget cannot be verified because price is unavailable, so conservatively it does not satisfy the budget requirement.",True,False,True,True,ChenJi,,Failed non-negotiable requirement(s): matches_budget.,0.0,5.7,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,FC,,AI evaluation failed or was unavailable — needs manual review.,0.0,19.0,True
,,ok,Unavailable,0.6,steak_house,reject,Unavailable,"Walking time is within the limit and the user has no dietary or allergy restrictions. However, the restaurant's price is unavailable, so we conservatively assume it may exceed the SGD 20 budget.",True,False,True,True,Jack's Place,,Failed non-negotiable requirement(s): matches_budget.,0.0,7.2,True
,AI did not return a valid response after retries.,failed,Unavailable,,seafood,flag,Unavailable,,,,,,Melben Seafood,,AI evaluation failed or was unavailable — needs manual review.,0.0,15.8,True
,,ok,Unavailable,0.6,Unavailable,reject,Unavailable,"No dietary or allergy restrictions apply, and walking time is within the limit. However, price information is unavailable, so we conservatively assume it does not meet the budget.",True,False,True,True,Roast.Duck,,Failed non-negotiable requirement(s): matches_budget.,0.0,8.2,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,ChenJi,,AI evaluation failed or was unavailable — needs manual review.,0.0,15.5,True
560724,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Ang Mo Kio Blk 724 Food Centre,,AI evaluation failed or was unavailable — needs manual review.,0.0,4.5,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Teck Ghee Food Centre,,AI evaluation failed or was unavailable — needs manual review.,0.0,7.4,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,AMK 347 Foodhouse,,AI evaluation failed or was unavailable — needs manual review.,0.0,2.5,True
1382 Ang Mo Kio Avenue 1 569931,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Canopy Garden Dining,,AI evaluation failed or was unavailable — needs manual review.,0.0,9.8,True
,AI did not return a valid response after retries.,failed,Unavailable,,pizza,flag,Unavailable,,,,,,Canadian Pizza,,AI evaluation failed or was unavailable — needs manual review.,0.0,16.0,True
510 Ang Mo Kio Avenue 1 569983,AI did not return a valid response after retries.,failed,Unavailable,,Western,flag,Unavailable,,,,,,Burp Kitchen & Bar (Bishan Park),,AI evaluation failed or was unavailable — needs manual review.,0.0,18.4,True
560532,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Nature Vegetarian 532 Ang Mo Kio Ave 10 #01-2495 560532 11am-9pm.,,AI evaluation failed or was unavailable — needs manual review.,0.0,11.1,True
Sin Ming Drive,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Food Park,,AI evaluation failed or was unavailable — needs manual review.,0.0,18.0,True
569629,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Kian Seng Seafood Restaurant,,AI evaluation failed or was unavailable — needs manual review.,0.0,17.5,True
Block 531 Ang Mo Kio Avenue 10 560531,AI did not return a valid response after retries.,failed,Unavailable,,pasta;chicken;fish_and_chips;seafood,flag,Unavailable,,,,,,Fish & Chicks,,AI evaluation failed or was unavailable — needs manual review.,0.0,9.6,True
410 Sin Ming Avenue 571410,AI did not return a valid response after retries.,failed,Unavailable,,chinese;local,flag,Unavailable,,,,,,Two Chefs Sin Ming Ave,,AI evaluation failed or was unavailable — needs manual review.,0.0,19.6,True
202 Ang Mo Kio Avenue 3 560202,,ok,Unavailable,0.7,chinese;local,reject,Unavailable,"Dietary and allergy requirements are trivially satisfied since the user has none. Walking time (6 min) is within the 20 min limit. Budget cannot be confirmed because price information is unavailable, so conservatively it does not satisfy.",True,False,True,True,Kam Jia Zhuang Seafood #01-1690,,Failed non-negotiable requirement(s): matches_budget.,0.0,6.0,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Hup Kah Noodle House,,AI evaluation failed or was unavailable — needs manual review.,0.0,11.4,True
Ang Mo Kio Avenue 3 569933,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,The Soup Spoon,,AI evaluation failed or was unavailable — needs manual review.,0.0,0.2,True
15 Jalan Riang 358987,AI did not return a valid response after retries.,failed,Unavailable,,Thai_Cuisine,flag,Unavailable,,,,,,Siam Society,,AI evaluation failed or was unavailable — needs manual review.,0.0,7.9,True
,AI did not return a valid response after retries.,failed,Unavailable,,Cajun_Food,flag,Unavailable,,,,,,The Cajun Kings,,AI evaluation failed or was unavailable — needs manual review.,0.0,7.8,True
,AI did not return a valid response after retries.,failed,Unavailable,,italian,flag,Unavailable,,,,,,La Pizzaiola,,AI evaluation failed or was unavailable — needs manual review.,0.0,7.8,True
Jalan Riang,,ok,Unavailable,0.3,burger;seafood,reject,Unavailable,"Walking time is within range and no dietary restrictions are needed. However, allergen information is unavailable and the cuisine includes seafood (prawns likely present), so allergy safety cannot be confirmed. Price is also unavailable, so budget compliance cannot be assumed.",False,False,True,True,Ah Hua Kelong,,"Failed non-negotiable requirement(s): matches_allergy_safe, matches_budget.",0.0,7.6,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,18 Chefs,,AI evaluation failed or was unavailable — needs manual review.,0.0,1.2,True
Upper Serangoon Road,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,KNS Suriya Eating House,,AI evaluation failed or was unavailable — needs manual review.,0.0,6.3,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Swensen's,,AI evaluation failed or was unavailable — needs manual review.,0.0,0.7,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Pastamania,,AI evaluation failed or was unavailable — needs manual review.,0.0,0.7,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Sushi Tei,,AI evaluation failed or was unavailable — needs manual review.,0.0,0.8,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Bali Thai,,AI evaluation failed or was unavailable — needs manual review.,0.0,0.4,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Jack's Place,,AI evaluation failed or was unavailable — needs manual review.,0.0,0.6,True
,,ok,Unavailable,0.3,Unavailable,reject,Unavailable,"Walking time is within range and no dietary restrictions are needed, but allergen information and price are unavailable, so conservatively the candidate may not be allergy-safe or within budget.",False,False,True,True,greendot,,"Failed non-negotiable requirement(s): matches_allergy_safe, matches_budget.",0.0,0.2,True
,AI did not return a valid response after retries.,failed,Unavailable,,korean,flag,Unavailable,,,,,,Yoogane,,AI evaluation failed or was unavailable — needs manual review.,0.0,1.1,True
,AI did not return a valid response after retries.,failed,Unavailable,,japanese;seafood,flag,Unavailable,,,,,,Ichiban Boshi Kaisen,,AI evaluation failed or was unavailable — needs manual review.,0.0,0.8,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Mad Jack,,AI evaluation failed or was unavailable — needs manual review.,0.0,1.0,True
,,ok,Unavailable,0.4,korean,reject,Unavailable,"No dietary requirement so that matches, and walking time (1.1 min) is within the 10-min limit. However, allergen info is unavailable so we conservatively assume prawn/egg may be present, and price is unknown so budget compliance cannot be confirmed.",False,False,True,True,Jeju Kitchen,,"Failed non-negotiable requirement(s): matches_allergy_safe, matches_budget.",0.0,1.1,True
,,ok,Unavailable,0.3,Unavailable,reject,Unavailable,"User has no dietary restrictions, so dietary is satisfied, and walking time (0.9 min) is well within the 10-minute limit. However, allergen info and price are unavailable, so conservatively the candidate may not be allergy-safe (prawn/egg) or within budget.",False,False,True,True,PratuNam,,"Failed non-negotiable requirement(s): matches_allergy_safe, matches_budget.",0.0,0.9,True
,AI did not return a valid response after retries.,failed,Unavailable,,sushi,flag,Unavailable,,,,,,Sushi Express,,AI evaluation failed or was unavailable — needs manual review.,0.0,1.6,True
,AI did not return a valid response after retries.,failed,Unavailable,,japanese,flag,Unavailable,,,,,,Yakiniku-Go,,AI evaluation failed or was unavailable — needs manual review.,0.0,0.6,True
,AI did not return a valid response after retries.,failed,Unavailable,,japanese,flag,Unavailable,,,,,,Monster Curry,,AI evaluation failed or was unavailable — needs manual review.,0.0,0.8,True
